Source,Source_Type,Fire_Category,Souce_ID,Fire_Name,DateTime,Latitude,Longitude,Magnitude,Cause_or_Type
FF,FO,WF,13885,ELK MEADOWS #2,2006-06-20T18:00:00Z,46.83222222,-114.13111111,0.1,9
FF,FO,WF,13895,SLEDDING HILL,2006-07-05T01:05:00Z,46.83416667,-114.11194444,0.3,6
FF,FO,WF,13896,BLUE MTN NATURE TRL.,2006-07-05T01:30:00Z,46.83333333,-114.1025,0.1,6
FF,FO,WF,13904,O BRIEN,2006-07-07T02:00:00Z,46.83277778,-114.25861111,1.0,1
FF,FO,WF,13922,MCFARLAND GULCH,2006-07-07T16:20:00Z,46.98277778,-113.96472222,0.1,1
FF,FO,WF,13926,GRANITE CREEK #1,2006-07-07T18:30:00Z,46.72305556,-114.59944444,0.1,1
FF,FO,WF,13930,GRANITE CREEK #2,2006-07-07T23:30:00Z,46.6975,-114.59166667,0.1,9
FF,FO,WF,13933,CEDAR RUN,2006-07-08T01:00:00Z,46.77388889,-114.49583333,0.1,1
FF,FO,WF,13938,PATTEE CANYON PICNIC,2006-07-17T04:54:00Z,46.83277778,-113.93277778,0.1,9
FF,FO,WF,13945,TINDALL,2006-07-20T05:00:00Z,46.43972222,-113.73333333,0.3,1
FF,FO,WF,13947,ROCKY PEAK,2006-07-15T17:25:00Z,46.71305556,-114.60777778,0.1,3
FF,FO,WF,13956,ELK MEADOWS #3,2006-07-27T15:34:00Z,46.72777778,-114.33277778,0.1,12
FF,FO,WF,13958,ELK MEADOWS #4,2006-07-27T23:00:00Z,46.97555556,-114.54194444,0.5,12
FF,FO,WF,13960,BLUE MTN REC AREA,2006-07-28T23:20:00Z,46.83055556,-114.33888889,0.1,12
FF,FO,WF,13962,BURNING RAG,2006-08-04T17:05:00Z,46.97833333,-114.48277778,0.1,2
FF,FO,WF,13966,PILCHER CREEK,2006-08-07T20:30:00Z,46.95916667,-113.88222222,0.3,9
FF,FO,WF,13968,O'BRIEN CREEK,2006-08-08T01:10:00Z,46.83055556,-114.13305556,30.0,12
FF,FO,WF,13981,EAGLE POINT,2006-08-09T13:00:00Z,46.38416667,-113.78527778,0.1,1
FF,FO,WF,13984,SIESTA,2006-08-09T01:30:00Z,47.01861111,-113.88333333,0.5,1
FF,FO,WF,13985,BATEMAN,2006-08-11T18:00:00Z,46.68277778,-113.53222222,0.1,1
FF,FO,WF,13987,BREWSTER #1,2006-08-11T18:45:00Z,46.63388889,-113.55305556,0.25,1
FF,FO,WF,13988,BREWSTER #5,2006-08-11T16:00:00Z,46.65444444,-113.57916667,0.1,1
FF,FO,WF,13990,BREWSTER #2,2006-08-11T16:00:00Z,46.64694444,-113.57611111,0.1,1
FF,FO,WF,13994,BREWSTER #3,2006-08-11T19:00:00Z,46.65166667,-113.58222222,0.1,1
FF,FO,WF,13995,EAST HILL #1,2006-08-12T02:00:00Z,46.6525,-113.56805556,0.1,1
FF,FO,WF,13996,BREWSTER #4,2006-08-11T21:30:00Z,46.64361111,-113.54166667,0.1,1
FF,FO,WF,14009,BREWSTER #6,2006-08-12T03:00:00Z,46.63388889,-113.55055556,0.1,1
FF,FO,WF,14015,BREWSTER #7,2006-08-12T16:00:00Z,46.61583333,-113.61305556,0.25,1
FF,FO,WF,14023,GILLESPIE,2006-08-12T03:00:00Z,46.68527778,-113.55055556,0.25,1
FF,FO,WF,14024,BREWSTER #8,2006-08-09T17:00:00Z,46.60222222,-113.63694444,0.1,1
FF,FO,WF,14025,WHITETAIL #1,2006-08-13T16:00:00Z,46.66722222,-113.54861111,0.1,1
FF,FO,WF,14027,WHITETAIL #2,2006-08-12T17:00:00Z,46.65388889,-113.52916667,0.1,1
FF,FO,WF,14029,GUNBARREL,2006-08-13T19:00:00Z,46.51555556,-113.67833333,1.0,1
FF,FO,WF,14030,GOLDEN MOUNTAIN,2006-08-14T21:00:00Z,46.64083333,-113.58472222,5.4,1
FF,FO,WF,14032,RATTLESNAKE,2006-08-14T19:00:00Z,46.94194444,-113.88055556,0.1,1
FF,FO,WF,14041,WOODMAN SADDLE,2006-08-20T21:21:00Z,46.83194444,-114.2125,10.0,1
FF,FO,WF,14042,EAST HILL #2,2006-08-15T18:30:00Z,46.66888889,-113.56805556,0.1,1
FF,FO,WF,14043,LEE CREEK,2006-08-23T17:01:00Z,46.66055556,-114.53611111,1.25,1
FF,FO,WF,14047,FORT FIZZLE,2006-08-28T00:30:00Z,46.74611111,-114.17111111,0.1,9
FF,FO,WF,14048,EAST FORK LOLO CREEK,2006-08-28T04:47:00Z,46.98166667,-114.81611111,0.1,9
FF,FO,WF,14064,WOODMAN #2,2006-08-17T03:30:00Z,46.78611111,-114.2625,0.1,1
FF,FO,WF,14065,E. FK. LOLO CREEK #2,2006-08-27T22:40:00Z,46.66916667,-114.48555556,0.1,9
FF,FO,WF,14067,MORMON PEAK #2,2006-08-31T23:30:00Z,46.71777778,-114.13444444,10.0,12
FF,FO,WF,14072,SHERIDAN RIDGE,2006-08-09T20:05:00Z,47.06638889,-114.58972222,0.1,1
FF,FO,WF,14079,POTATO,2006-09-10T03:40:00Z,46.78527778,-114.35,7.0,1
FF,FO,WF,14084,LOLO HOT SPRINGS,2006-09-11T20:29:00Z,46.71805556,-114.53416667,0.1,2
